# Formato de filas:
# EQUIPO,nombre,pais,presupuesto,nombreEntrenador,edadEnt,nacionEnt,estilo,exp,formacion
# JUGADOR,nombreEquipo,id,nombre,edad,nacion,posicion,ataque,defensa,energia,velocidad,valor
tipo,nombre,pais,presupuesto,nombreEntrenador,edadEnt,nacionEnt,estilo,exp,formacion

EQUIPO,Real Madrid,España,220.0,Alvaro Arbeloa,44,España,EQUILIBRADO,26,4-3-3
JUGADOR,Real Madrid,1,Thibaut Courtois,20,33,Bélgica,POR,83,91,80,65,80.0
JUGADOR,Real Madrid,2,Dani Carvajal,20,33,España,DFC,72,84,82,84,55.0
JUGADOR,Real Madrid,3,Eder Militao,20,26,Brasil,DEF,66,85,82,78,60.0
JUGADOR,Real Madrid,4,David Alaba,20,33,Austria,DEF,68,82,80,74,55.0
JUGADOR,Real Madrid,5,Jude Bellingham,20,22,Inglaterra,MED,88,72,88,84,150.0
JUGADOR,Real Madrid,6,Eduardo Camavinga,20,23,Francia,MED,77,73,83,81,70.0
JUGADOR,Real Madrid,7,Vinícius Jr,20,25,Brasil,DEL,91,46,89,96,120.0
JUGADOR,Real Madrid,8,Federico Valverde,20,26,Uruguay,MED,80,76,86,85,90.0
JUGADOR,Real Madrid,9,Gonzalo García,20,22,España,DEL,75,46,84,80,80.0
JUGADOR,Real Madrid,10,Kylian Mbappé,20,27,Francia,DEL,93,58,91,97,200.0
JUGADOR,Real Madrid,11,Rodrygo,20,24,Brasil,DEL,84,46,84,88,70.0
JUGADOR,Real Madrid,12,Trent Alexander-Arnold,20,27,Inglaterra,DEF,80,82,84,82,90.0
JUGADOR,Real Madrid,13,Andriy Lunin,20,27,Ucrania,POR,80,82,84,82,90.0
JUGADOR,Real Madrid,14,Aurélien Tchouaméni,20,25,Francia,MED,75,80,84,80,80.0
JUGADOR,Real Madrid,15,Arda Güler,20,20,Turquía,MED,75,70,83,79,35.0
JUGADOR,Real Madrid,16,Raúl Asencio,20,22,España,DEF,63,82,80,74,25.0
